,County,R_0,Quantile.0.025.1,Quantile.0.025.2,Quantile.0.025.3,Quantile.0.025.4,Quantile.0.975.1,Quantile.0.975.2,Quantile.0.975.3,Quantile.0.975.4
1,Adams,1.128,0.756,0.756,0.756,0.756,1.574,1.574,1.574,1.574
2,Ashland,1.084,0.607,0.607,0.607,0.607,1.698,1.698,1.698,1.698
3,Barron,1.028,0.744,0.744,0.744,0.744,1.357,1.357,1.357,1.357
4,Bayfield,1.038,0.650,0.650,0.650,0.650,1.514,1.514,1.514,1.514
5,Brown,2.849,2.773,2.773,2.773,2.773,2.926,2.926,2.926,2.926
6,Buffalo,1.066,0.714,0.714,0.714,0.714,1.488,1.488,1.488,1.488
7,Burnett,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,Calumet,1.510,1.149,1.149,1.149,1.149,1.919,1.919,1.919,1.919
9,Chippewa,1.023,0.862,0.862,0.862,0.862,1.197,1.197,1.197,1.197
10,Clark,1.371,1.149,1.149,1.149,1.149,1.612,1.612,1.612,1.612
11,Columbia,1.020,0.880,0.880,0.880,0.880,1.170,1.170,1.170,1.170
12,Crawford,1.047,0.656,0.656,0.656,0.656,1.528,1.528,1.528,1.528
13,Dane,1.116,1.075,1.075,1.075,1.075,1.157,1.157,1.157,1.157
14,Dodge,1.385,1.195,1.195,1.195,1.195,1.590,1.590,1.590,1.590
15,Door,1.160,0.909,0.909,0.909,0.909,1.441,1.441,1.441,1.441
16,Douglas,1.170,0.901,0.901,0.901,0.901,1.473,1.473,1.473,1.473
17,Dunn,1.023,0.788,0.788,0.788,0.788,1.289,1.289,1.289,1.289
18,Eau Claire,1.132,0.970,0.970,0.970,0.970,1.305,1.305,1.305,1.305
19,Florence,1.060,0.593,0.593,0.593,0.593,1.660,1.660,1.660,1.660
20,Fond du Lac,1.100,1.004,1.004,1.004,1.004,1.201,1.201,1.201,1.201
21,Forest,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,Grant,1.733,1.507,1.507,1.507,1.507,1.975,1.975,1.975,1.975
23,Green,1.178,0.928,0.928,0.928,0.928,1.457,1.457,1.457,1.457
24,Green Lake,1.642,0.820,0.820,0.820,0.820,2.746,2.746,2.746,2.746
25,Iowa,1.186,0.880,0.880,0.880,0.880,1.537,1.537,1.537,1.537
26,Iron,1.075,0.602,0.602,0.602,0.602,1.684,1.684,1.684,1.684
27,Jackson,1.081,0.863,0.863,0.863,0.863,1.322,1.322,1.322,1.322
28,Jefferson,1.345,1.192,1.192,1.192,1.192,1.507,1.507,1.507,1.507
29,Juneau,1.367,1.095,1.095,1.095,1.095,1.669,1.669,1.669,1.669
30,Kenosha,1.379,1.324,1.324,1.324,1.324,1.436,1.436,1.436,1.436
31,Kewaunee,1.489,1.171,1.171,1.171,1.171,1.845,1.845,1.845,1.845
32,La Crosse,1.042,0.896,0.896,0.896,0.896,1.198,1.198,1.198,1.198
33,Lafayette,1.294,0.866,0.866,0.866,0.866,1.805,1.805,1.805,1.805
34,Langlade,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35,Lincoln,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36,Manitowoc,1.648,1.282,1.282,1.282,1.282,2.059,2.059,2.059,2.059
37,Marathon,1.087,0.903,0.903,0.903,0.903,1.289,1.289,1.289,1.289
38,Marinette,1.444,1.079,1.079,1.079,1.079,1.863,1.863,1.863,1.863
39,Marquette,1.092,0.684,0.684,0.684,0.684,1.593,1.593,1.593,1.593
40,Menominee,1.112,0.480,0.480,0.480,0.480,2.005,2.005,2.005,2.005
41,Milwaukee,1.238,1.220,1.220,1.220,1.220,1.256,1.256,1.256,1.256
42,Monroe,1.166,0.948,0.948,0.948,0.948,1.407,1.407,1.407,1.407
43,Oconto,1.564,1.153,1.153,1.153,1.153,2.037,2.037,2.037,2.037
44,Oneida,1.030,0.746,0.746,0.746,0.746,1.360,1.360,1.360,1.360
45,Outagamie,1.351,1.207,1.207,1.207,1.207,1.502,1.502,1.502,1.502
46,Ozaukee,1.072,0.987,0.987,0.987,0.987,1.161,1.161,1.161,1.161
47,Pepin,3.503,0.089,0.089,0.089,0.089,12.921,12.921,12.921,12.921
48,Pierce,1.202,0.921,0.921,0.921,0.921,1.519,1.519,1.519,1.519
49,Polk,1.143,0.765,0.765,0.765,0.765,1.595,1.595,1.595,1.595
50,Portage,1.066,0.719,0.719,0.719,0.719,1.480,1.480,1.480,1.480
51,Price,1.151,0.497,0.497,0.497,0.497,2.075,2.075,2.075,2.075
52,Racine,1.578,1.507,1.507,1.507,1.507,1.650,1.650,1.650,1.650
53,Richland,1.368,1.076,1.076,1.076,1.076,1.695,1.695,1.695,1.695
