County,R_0,Quantile.0.025,Quantile.0.975,NumCases,NumDaysWithCases
Adams,1.039,0.696,1.45,106,34
Ashland,1.059,0.593,1.658,60,36
Barron,1.112,0.817,1.451,183,33
Bayfield,1.038,0.65,1.514,123,48
Brown,1.938,1.898,1.979,15698,49
Buffalo,1.139,0.779,1.566,120,36
Burnett,NA,NA,NA,0,NA
Calumet,2.033,1.675,2.424,268,48
Chippewa,1.155,0.986,1.338,705,47
Clark,1.132,0.954,1.324,480,42
Columbia,1.072,0.93,1.225,962,48
Crawford,1.501,1.027,2.064,102,35
Dane,1.092,1.053,1.131,13992,57
Dodge,1.46,1.287,1.643,836,44
Door,1.406,1.143,1.696,312,36
Douglas,1.051,0.809,1.323,322,47
Dunn,1.185,0.932,1.468,308,48
Eau Claire,1.386,1.215,1.568,902,48
Florence,1.057,0.591,1.655,61,31
Fond du Lac,1.085,0.993,1.182,2307,55
Forest,NA,NA,NA,0,NA
Grant,1.586,1.414,1.768,676,42
Green,1.384,1.127,1.666,385,47
Green Lake,2.463,1.578,3.541,41,23
Iowa,1.045,0.775,1.353,214,43
Iron,1.058,0.592,1.657,65,40
Jackson,1.028,0.823,1.257,332,37
Jefferson,1.216,1.086,1.352,1091,47
Juneau,1.446,1.2,1.715,349,41
Kenosha,1.528,1.477,1.579,9223,51
Kewaunee,1.711,1.418,2.032,254,30
La Crosse,1.128,0.979,1.288,1002,49
Lafayette,1.428,1.015,1.909,105,29
Langlade,NA,NA,NA,0,NA
Lincoln,NA,NA,NA,5,5
Manitowoc,1.444,1.161,1.757,226,32
Marathon,1.096,0.917,1.29,536,47
Marinette,1.429,1.112,1.785,194,40
Marquette,1.043,0.654,1.522,95,37
Menominee,1.111,0.48,2.003,34,34
Milwaukee,1.246,1.23,1.263,77383,54
Monroe,1.037,0.843,1.252,370,42
Oconto,2.259,1.846,2.713,205,36
Oneida,1.02,0.738,1.347,195,39
Outagamie,1.483,1.35,1.623,1371,51
Ozaukee,1.094,1.01,1.181,2921,48
Pepin,4.856,0.123,17.912,14,33
Pierce,1.215,0.951,1.512,329,57
Polk,1.04,0.697,1.452,93,26
Portage,1.431,1.031,1.895,150,41
Price,1.114,0.481,2.009,25,25
Racine,1.665,1.605,1.726,6957,54
Richland,1.242,0.995,1.517,268,39
Rock,1.811,1.726,1.898,3773,47
Rusk,1.042,0.698,1.454,113,33
St. Croix,1.353,1.123,1.604,434,48
Sauk,1.487,1.347,1.635,1287,48
Sawyer,1.399,0.896,2.012,61,27
Shawano,1.846,1.503,2.223,233,31
Sheboygan,1.14,1.024,1.262,1431,54
Taylor,NA,NA,NA,0,NA
Trempealeau,1.873,1.187,2.713,54,34
Vernon,2.141,1.027,3.659,14,12
Vilas,1.028,0.689,1.435,149,41
Walworth,1.533,1.45,1.617,3106,49
Washburn,1.138,0.491,2.051,20,20
Washington,1.107,1.027,1.19,3038,49
Waukesha,1.187,1.141,1.235,9409,55
Waupaca,1.492,1.156,1.87,183,41
Waushara,1.198,0.698,1.831,59,30
Winnebago,1.411,1.285,1.543,1479,53
Wood,1.056,0.591,1.654,91,51
