County,R_0,Quantile.0.025,Quantile.0.975,NumCases,NumDaysWithCases
Adams,1.036,0.694,1.445,110,35
Ashland,1.058,0.592,1.657,62,37
Barron,1.13,0.833,1.471,190,34
Bayfield,1.038,0.65,1.514,126,49
Brown,1.866,1.829,1.904,17351,50
Buffalo,1.207,0.836,1.646,126,37
Burnett,NA,NA,NA,0,NA
Calumet,1.984,1.646,2.353,288,49
Chippewa,1.184,1.013,1.368,732,48
Clark,1.122,0.948,1.311,502,43
Columbia,1.095,0.951,1.249,994,49
Crawford,1.666,1.167,2.252,109,36
Dane,1.085,1.047,1.123,14437,58
Dodge,1.424,1.258,1.599,878,45
Door,1.44,1.177,1.728,330,37
Douglas,1.057,0.816,1.329,332,48
Dunn,1.241,0.982,1.529,321,49
Eau Claire,1.449,1.276,1.632,947,49
Florence,1.057,0.591,1.654,63,32
Fond du Lac,1.104,1.011,1.201,2390,56
Forest,NA,NA,NA,1,1
Grant,1.612,1.444,1.79,736,43
Green,1.464,1.203,1.75,405,48
Green Lake,2.487,1.639,3.509,46,24
Iowa,1.098,0.823,1.413,224,44
Iron,1.057,0.592,1.656,67,41
Jackson,1.024,0.819,1.251,344,38
Jefferson,1.185,1.059,1.317,1138,48
Juneau,1.433,1.193,1.693,368,42
Kenosha,1.544,1.494,1.594,9803,52
Kewaunee,1.764,1.474,2.08,279,31
La Crosse,1.144,0.994,1.303,1034,50
Lafayette,1.517,1.098,2.002,113,30
Langlade,NA,NA,NA,0,NA
Lincoln,NA,NA,NA,6,6
Manitowoc,1.458,1.181,1.764,243,33
Marathon,1.121,0.94,1.317,557,48
Marinette,1.494,1.175,1.851,207,41
Marquette,1.041,0.653,1.52,98,38
Menominee,1.111,0.48,2.003,35,35
Milwaukee,1.246,1.23,1.262,80852,55
Monroe,1.029,0.836,1.242,384,43
Oconto,2.33,1.931,2.767,228,37
Oneida,1.02,0.738,1.346,201,40
Outagamie,1.502,1.371,1.64,1454,52
Ozaukee,1.098,1.014,1.184,3016,49
Pepin,4.908,0.124,18.105,14,34
Pierce,1.2,0.94,1.49,340,58
Polk,1.072,0.723,1.488,98,27
Portage,1.46,1.061,1.922,157,42
Price,1.113,0.481,2.007,26,26
Racine,1.683,1.625,1.743,7516,55
Richland,1.23,0.988,1.499,281,40
Rock,1.781,1.7,1.863,4084,48
Rusk,1.038,0.695,1.448,117,34
St. Croix,1.424,1.191,1.679,457,49
Sauk,1.512,1.374,1.657,1357,49
Sawyer,1.393,0.901,1.99,65,28
Shawano,1.835,1.505,2.197,250,32
Sheboygan,1.165,1.049,1.287,1490,55
Taylor,NA,NA,NA,0,NA
Trempealeau,1.948,1.273,2.765,59,35
Vernon,2.079,1.038,3.476,16,13
Vilas,1.028,0.689,1.435,153,42
Walworth,1.507,1.428,1.589,3321,50
Washburn,1.129,0.487,2.035,21,21
Washington,1.108,1.028,1.19,3145,50
Waukesha,1.18,1.135,1.227,9783,56
Waupaca,1.45,1.128,1.811,193,42
Waushara,1.338,0.806,2.004,63,31
Winnebago,1.464,1.337,1.596,1564,54
Wood,1.056,0.591,1.654,93,52
Wisconsin,1.37,1.359,1.382,176790,58
