t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),county,numCases,numDaysWithCases
2020-03-17,2020-03-23,7.22,1.416,4.717,5.059,9.696,7.128,9.696,9.696,10.249,Allamakee,2379,58
2020-03-18,2020-03-24,5.657,1.033,3.817,4.072,7.456,5.594,7.456,7.456,7.853,Allamakee,2379,58
2020-03-19,2020-03-25,4.672,0.79,3.254,3.453,6.042,4.627,6.042,6.042,6.342,Allamakee,2379,58
2020-03-20,2020-03-26,3.945,0.624,2.818,2.978,5.024,3.912,5.024,5.024,5.258,Allamakee,2379,58
2020-03-21,2020-03-27,3.336,0.503,2.424,2.554,4.204,3.311,4.204,4.204,4.391,Allamakee,2379,58
2020-03-22,2020-03-28,2.771,0.409,2.029,2.135,3.476,2.751,3.476,3.476,3.628,Allamakee,2379,58
2020-03-23,2020-03-29,2.364,0.341,1.743,1.832,2.952,2.347,2.952,2.952,3.078,Allamakee,2379,58
2020-03-24,2020-03-30,2.025,0.289,1.498,1.574,2.524,2.012,2.524,2.524,2.631,Allamakee,2379,58
2020-03-25,2020-03-31,1.78,0.252,1.321,1.387,2.214,1.768,2.214,2.214,2.307,Allamakee,2379,58
2020-03-26,2020-04-01,1.572,0.222,1.166,1.225,1.954,1.561,1.954,1.954,2.036,Allamakee,2379,58
2020-03-27,2020-04-02,1.646,0.216,1.25,1.307,2.016,1.636,2.016,2.016,2.095,Allamakee,2379,58
2020-03-28,2020-04-03,1.75,0.214,1.356,1.413,2.115,1.741,2.115,2.115,2.193,Allamakee,2379,58
2020-03-29,2020-04-04,1.851,0.212,1.459,1.516,2.214,1.843,2.214,2.214,2.29,Allamakee,2379,58
2020-03-30,2020-04-05,1.961,0.211,1.568,1.626,2.321,1.953,2.321,2.321,2.396,Allamakee,2379,58
2020-03-31,2020-04-06,2.059,0.209,1.669,1.727,2.414,2.051,2.414,2.414,2.488,Allamakee,2379,58
2020-04-01,2020-04-07,2.093,0.202,1.715,1.771,2.436,2.086,2.436,2.436,2.507,Allamakee,2379,58
2020-04-02,2020-04-08,2.122,0.195,1.758,1.812,2.452,2.116,2.452,2.452,2.52,Allamakee,2379,58
2020-04-03,2020-04-09,1.983,0.179,1.648,1.698,2.286,1.977,2.286,2.286,2.348,Allamakee,2379,58
2020-04-04,2020-04-10,1.842,0.163,1.536,1.582,2.119,1.837,2.119,2.119,2.176,Allamakee,2379,58
2020-04-05,2020-04-11,1.723,0.15,1.441,1.484,1.977,1.718,1.977,1.977,2.029,Allamakee,2379,58
2020-04-06,2020-04-12,1.607,0.138,1.348,1.387,1.84,1.603,1.84,1.84,1.888,Allamakee,2379,58
2020-04-07,2020-04-13,1.523,0.128,1.282,1.318,1.739,1.519,1.739,1.739,1.784,Allamakee,2379,58
2020-04-08,2020-04-14,1.477,0.121,1.248,1.283,1.682,1.474,1.682,1.682,1.724,Allamakee,2379,58
2020-04-09,2020-04-15,1.425,0.115,1.208,1.241,1.62,1.422,1.62,1.62,1.66,Allamakee,2379,58
2020-04-10,2020-04-16,1.403,0.111,1.194,1.226,1.591,1.401,1.591,1.591,1.629,Allamakee,2379,58
2020-04-11,2020-04-17,1.388,0.107,1.185,1.216,1.569,1.385,1.569,1.569,1.606,Allamakee,2379,58
2020-04-12,2020-04-18,1.424,0.106,1.223,1.254,1.603,1.421,1.603,1.603,1.639,Allamakee,2379,58
2020-04-13,2020-04-19,1.473,0.105,1.273,1.303,1.65,1.47,1.65,1.65,1.686,Allamakee,2379,58
