t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),county,numCases,numDaysWithCases
2020-03-17,2020-03-23,3.415,1.527,1.109,1.345,6.251,3.19,6.251,6.251,6.994,Allamakee,113,58
2020-03-18,2020-03-24,2.628,1.175,0.853,1.036,4.811,2.455,4.811,4.811,5.383,Allamakee,113,58
2020-03-19,2020-03-25,2.512,1.025,0.922,1.094,4.401,2.374,4.401,4.401,4.885,Allamakee,113,58
2020-03-20,2020-03-26,2.107,0.86,0.773,0.918,3.692,1.991,3.692,3.692,4.098,Allamakee,113,58
2020-03-21,2020-03-27,1.538,0.688,0.499,0.606,2.816,1.437,2.816,2.816,3.151,Allamakee,113,58
2020-03-22,2020-03-28,0.831,0.48,0.171,0.227,1.745,0.741,1.745,1.745,2.002,Allamakee,113,58
2020-03-23,2020-03-29,0.768,0.443,0.158,0.209,1.611,0.684,1.611,1.611,1.849,Allamakee,113,58
2020-03-24,2020-03-30,0.489,0.346,0.059,0.087,1.161,0.411,1.161,1.161,1.364,Allamakee,113,58
2020-03-25,2020-03-31,0.489,0.346,0.059,0.087,1.159,0.41,1.159,1.159,1.361,Allamakee,113,58
2020-03-26,2020-04-01,0.254,0.254,0.006,0.013,0.762,0.176,0.762,0.762,0.938,Allamakee,113,58
2020-03-27,2020-04-02,2.478,0.826,1.133,1.293,3.974,2.387,3.974,3.974,4.34,Allamakee,113,58
2020-03-28,2020-04-03,3.078,0.973,1.476,1.67,4.835,2.976,4.835,4.835,5.259,Allamakee,113,58
2020-03-29,2020-04-04,3.383,1.07,1.622,1.835,5.313,3.271,5.313,5.313,5.779,Allamakee,113,58
2020-03-30,2020-04-05,3.656,1.102,1.825,2.05,5.638,3.546,5.638,5.638,6.113,Allamakee,113,58
2020-03-31,2020-04-06,3.18,0.959,1.587,1.783,4.903,3.084,4.903,4.903,5.316,Allamakee,113,58
2020-04-01,2020-04-07,2.612,0.788,1.304,1.465,4.028,2.533,4.028,4.028,4.367,Allamakee,113,58
2020-04-02,2020-04-08,2.534,0.703,1.349,1.499,3.79,2.469,3.79,3.79,4.086,Allamakee,113,58
2020-04-03,2020-04-09,0.821,0.367,0.267,0.324,1.504,0.767,1.504,1.504,1.682,Allamakee,113,58
2020-04-04,2020-04-10,0.713,0.319,0.232,0.281,1.306,0.666,1.306,1.306,1.461,Allamakee,113,58
2020-04-05,2020-04-11,0.774,0.316,0.284,0.337,1.357,0.732,1.357,1.357,1.506,Allamakee,113,58
2020-04-06,2020-04-12,0.618,0.276,0.201,0.243,1.131,0.577,1.131,1.131,1.266,Allamakee,113,58
2020-04-07,2020-04-13,0.871,0.329,0.35,0.409,1.474,0.83,1.474,1.474,1.625,Allamakee,113,58
2020-04-08,2020-04-14,1.038,0.367,0.448,0.517,1.706,0.995,1.706,1.706,1.872,Allamakee,113,58
2020-04-09,2020-04-15,0.827,0.337,0.303,0.36,1.448,0.781,1.448,1.448,1.607,Allamakee,113,58
2020-04-10,2020-04-16,1.166,0.412,0.503,0.58,1.916,1.118,1.916,1.916,2.102,Allamakee,113,58
2020-04-11,2020-04-17,1.217,0.43,0.526,0.606,2.001,1.167,2.001,2.001,2.195,Allamakee,113,58
2020-04-12,2020-04-18,2.193,0.586,1.199,1.326,3.238,2.141,3.238,3.238,3.483,Allamakee,113,58
2020-04-13,2020-04-19,2.533,0.633,1.448,1.589,3.657,2.481,3.657,3.657,3.917,Allamakee,113,58
2020-04-14,2020-04-20,2.784,0.656,1.65,1.8,3.944,2.733,3.944,3.944,4.21,Allamakee,113,58
2020-04-15,2020-04-21,3.01,0.657,1.863,2.017,4.166,2.963,4.166,4.166,4.428,Allamakee,113,58
2020-04-16,2020-04-22,2.788,0.594,1.747,1.887,3.832,2.746,3.832,3.832,4.068,Allamakee,113,58
2020-04-17,2020-04-23,2.288,0.499,1.416,1.533,3.166,2.252,3.166,3.166,3.365,Allamakee,113,58
2020-04-18,2020-04-24,2.231,0.455,1.43,1.539,3.029,2.2,3.029,3.029,3.208,Allamakee,113,58
2020-04-19,2020-04-25,1.845,0.385,1.17,1.261,2.52,1.818,2.52,2.52,2.672,Allamakee,113,58
2020-04-20,2020-04-26,2.329,0.405,1.603,1.705,3.034,2.306,3.034,3.034,3.189,Allamakee,113,58
2020-04-21,2020-04-27,2.089,0.364,1.438,1.529,2.721,2.068,2.721,2.721,2.859,Allamakee,113,58
2020-04-22,2020-04-28,2.464,0.376,1.783,1.88,3.113,2.445,3.113,3.113,3.254,Allamakee,113,58
2020-04-23,2020-04-29,2.278,0.343,1.655,1.744,2.871,2.261,2.871,2.871,2.999,Allamakee,113,58
2020-04-24,2020-04-30,2.042,0.308,1.484,1.564,2.574,2.027,2.574,2.574,2.689,Allamakee,113,58
2020-04-25,2020-05-01,1.692,0.264,1.214,1.282,2.149,1.678,2.149,2.149,2.248,Allamakee,113,58
2020-04-26,2020-05-02,1.396,0.226,0.988,1.045,1.788,1.384,1.788,1.788,1.873,Allamakee,113,58
2020-04-27,2020-05-03,1.027,0.184,0.698,0.744,1.348,1.016,1.348,1.348,1.419,Allamakee,113,58
2020-04-28,2020-05-04,0.825,0.159,0.544,0.582,1.102,0.815,1.102,1.102,1.164,Allamakee,113,58
2020-04-29,2020-05-05,0.377,0.104,0.201,0.223,0.563,0.367,0.563,0.563,0.607,Allamakee,113,58
2020-04-30,2020-05-06,0.312,0.094,0.156,0.175,0.481,0.302,0.481,0.481,0.521,Allamakee,113,58
2020-05-01,2020-05-07,0.316,0.095,0.158,0.177,0.487,0.307,0.487,0.487,0.528,Allamakee,113,58
2020-05-02,2020-05-08,0.363,0.105,0.188,0.21,0.551,0.353,0.551,0.551,0.596,Allamakee,113,58
2020-05-03,2020-05-09,0.298,0.099,0.136,0.155,0.478,0.287,0.478,0.478,0.522,Allamakee,113,58
2020-05-04,2020-05-10,0.52,0.139,0.284,0.314,0.768,0.508,0.768,0.768,0.826,Allamakee,113,58
2020-05-05,2020-05-11,0.635,0.164,0.356,0.392,0.927,0.621,0.927,0.927,0.995,Allamakee,113,58
2020-05-06,2020-05-12,0.777,0.194,0.444,0.487,1.121,0.761,1.121,1.121,1.201,Allamakee,113,58
2020-03-27,2020-04-02,2.597,1.836,0.315,0.461,6.16,2.179,6.16,6.16,7.235,Clayton,28,48
2020-03-28,2020-04-03,3.355,1.937,0.692,0.915,7.041,2.991,7.041,7.041,8.08,Clayton,28,48
2020-03-29,2020-04-04,2.93,1.692,0.604,0.799,6.15,2.612,6.15,6.15,7.057,Clayton,28,48
2020-03-30,2020-04-05,3.473,1.736,0.946,1.186,6.732,3.188,6.732,6.732,7.612,Clayton,28,48
2020-03-31,2020-04-06,3.101,1.551,0.845,1.059,6.012,2.847,6.012,6.012,6.798,Clayton,28,48
2020-04-01,2020-04-07,3.436,1.537,1.116,1.354,6.29,3.21,6.29,6.29,7.038,Clayton,28,48
2020-04-02,2020-04-08,2.404,1.202,0.655,0.821,4.661,2.207,4.661,4.661,5.27,Clayton,28,48
2020-04-03,2020-04-09,2.084,1.042,0.568,0.712,4.039,1.913,4.039,4.039,4.567,Clayton,28,48
2020-04-04,2020-04-10,1.814,0.907,0.494,0.62,3.516,1.665,3.516,3.516,3.975,Clayton,28,48
2020-04-05,2020-04-11,2.021,0.904,0.656,0.796,3.701,1.888,3.701,3.701,4.14,Clayton,28,48
2020-04-06,2020-04-12,1.484,0.742,0.404,0.507,2.876,1.362,2.876,2.876,3.252,Clayton,28,48
2020-04-07,2020-04-13,1.388,0.694,0.378,0.474,2.69,1.274,2.69,2.69,3.042,Clayton,28,48
2020-04-08,2020-04-14,0.986,0.569,0.203,0.269,2.068,0.879,2.068,2.068,2.374,Clayton,28,48
2020-04-09,2020-04-15,0.948,0.547,0.196,0.258,1.989,0.845,1.989,1.989,2.283,Clayton,28,48
2020-04-10,2020-04-16,0.931,0.538,0.192,0.254,1.955,0.83,1.955,1.955,2.243,Clayton,28,48
2020-04-11,2020-04-17,0.626,0.442,0.076,0.111,1.484,0.525,1.484,1.484,1.743,Clayton,28,48
2020-04-12,2020-04-18,0.322,0.322,0.008,0.017,0.965,0.223,0.965,0.965,1.189,Clayton,28,48
2020-04-13,2020-04-19,0.339,0.339,0.009,0.017,1.015,0.235,1.015,1.015,1.25,Clayton,28,48
