t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),county,numCases,numDaysWithCases
2020-04-03,2020-04-09,2.345,1.658,0.284,0.417,5.563,1.968,5.563,5.563,6.533,Adams,4,42
2020-04-04,2020-04-10,1.886,1.333,0.228,0.335,4.473,1.583,4.473,4.473,5.254,Adams,4,42
2020-04-05,2020-04-11,1.596,1.128,0.193,0.284,3.785,1.339,3.785,3.785,4.445,Adams,4,42
2020-04-06,2020-04-12,1.439,1.018,0.174,0.256,3.414,1.208,3.414,3.414,4.01,Adams,4,42
2020-04-07,2020-04-13,1.371,0.97,0.166,0.244,3.253,1.151,3.253,3.253,3.82,Adams,4,42
2020-04-08,2020-04-14,1.357,0.96,0.164,0.241,3.219,1.139,3.219,3.219,3.781,Adams,4,42
2020-04-09,2020-04-15,1.375,0.972,0.167,0.244,3.262,1.154,3.262,3.262,3.831,Adams,4,42
2020-04-10,2020-04-16,1.411,0.997,0.171,0.251,3.346,1.184,3.346,3.346,3.929,Adams,4,42
2020-04-11,2020-04-17,2.18,1.258,0.45,0.594,4.574,1.943,4.574,4.574,5.249,Adams,4,42
2020-04-12,2020-04-18,2.242,1.294,0.462,0.611,4.705,1.998,4.705,4.705,5.399,Adams,4,42
2020-04-13,2020-04-19,2.266,1.308,0.467,0.618,4.755,2.02,4.755,4.755,5.457,Adams,4,42
2020-04-14,2020-04-20,1.472,1.041,0.178,0.261,3.491,1.235,3.491,3.491,4.1,Adams,4,42
2020-04-15,2020-04-21,1.389,0.982,0.168,0.247,3.294,1.165,3.294,3.294,3.869,Adams,4,42
2020-04-16,2020-04-22,1.306,0.924,0.158,0.232,3.098,1.096,3.098,3.098,3.638,Adams,4,42
2020-04-17,2020-04-23,1.259,0.89,0.152,0.224,2.986,1.056,2.986,2.986,3.507,Adams,4,42
2020-04-18,2020-04-24,0.625,0.625,0.016,0.032,1.874,0.434,1.874,1.874,2.307,Adams,4,42
2020-04-19,2020-04-25,0.637,0.637,0.016,0.033,1.908,0.442,1.908,1.908,2.35,Adams,4,42
2020-04-20,2020-04-26,0.667,0.667,0.017,0.034,1.997,0.462,1.997,1.997,2.459,Adams,4,42
2020-04-21,2020-04-27,0.725,0.725,0.018,0.037,2.172,0.503,2.172,2.172,2.675,Adams,4,42
2020-04-22,2020-04-28,0.82,0.82,0.021,0.042,2.458,0.569,2.458,2.458,3.026,Adams,4,42
2020-04-23,2020-04-29,0.96,0.96,0.024,0.049,2.875,0.665,2.875,2.875,3.54,Adams,4,42
2020-04-24,2020-04-30,1.15,1.15,0.029,0.059,3.446,0.797,3.446,3.446,4.244,Adams,4,42
2020-04-25,2020-05-01,1.399,1.399,0.035,0.072,4.191,0.97,4.191,4.191,5.161,Adams,4,42
2020-04-26,2020-05-02,1.709,1.709,0.043,0.088,5.119,1.184,5.119,5.119,6.304,Adams,4,42
2020-04-27,2020-05-03,2.077,2.077,0.053,0.107,6.222,1.44,6.222,6.222,7.661,Adams,4,42
2020-04-28,2020-05-04,2.49,2.49,0.063,0.128,7.459,1.726,7.459,7.459,9.184,Adams,4,42
2020-04-29,2020-05-05,2.924,2.924,0.074,0.15,8.76,2.027,8.76,8.76,10.787,Adams,4,42
2020-04-30,2020-05-06,3.35,3.35,0.085,0.172,10.037,2.322,10.037,10.037,12.359,Adams,4,42
